N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B,OM,Fertility
Nclass0,Pclass2,Kclass2,pHclass1,ECclass2,OCclass2,Sclass1,Znclass0,Feclass0,Cuclass1,Mnclass2,Bclass0,OMclass2,0.0
Nclass1,Pclass1,Kclass0,pHclass3,ECclass3,OCclass3,Sclass2,Znclass1,Feclass0,Cuclass3,Mnclass0,Bclass1,OMclass3,0.0
Nclass0,Pclass3,Kclass3,pHclass2,ECclass1,OCclass3,Sclass3,Znclass1,Feclass0,Cuclass3,Mnclass0,Bclass1,OMclass3,0.0
Nclass0,Pclass0,Kclass1,pHclass3,ECclass2,OCclass3,Sclass2,Znclass1,Feclass0,Cuclass3,Mnclass0,Bclass1,OMclass3,0.0
Nclass2,Pclass3,Kclass1,pHclass3,ECclass0,OCclass3,Sclass3,Znclass0,Feclass0,Cuclass3,Mnclass0,Bclass2,OMclass3,1.0
Nclass1,Pclass2,Kclass1,pHclass1,ECclass3,OCclass2,Sclass3,Znclass2,Feclass0,Cuclass1,Mnclass0,Bclass1,OMclass2,0.0
Nclass1,Pclass1,Kclass0,pHclass3,ECclass0,OCclass3,Sclass2,Znclass1,Feclass0,Cuclass2,Mnclass0,Bclass1,OMclass3,0.0
Nclass1,Pclass1,Kclass0,pHclass3,ECclass2,OCclass2,Sclass2,Znclass1,Feclass0,Cuclass0,Mnclass0,Bclass1,OMclass2,0.0
Nclass3,Pclass3,Kclass1,pHclass2,ECclass1,OCclass2,Sclass2,Znclass3,Feclass1,Cuclass2,Mnclass2,Bclass1,OMclass3,2.0
Nclass2,Pclass2,Kclass2,pHclass2,ECclass1,OCclass2,Sclass2,Znclass3,Feclass0,Cuclass2,Mnclass0,Bclass2,OMclass2,1.0
Nclass0,Pclass1,Kclass3,pHclass2,ECclass0,OCclass2,Sclass3,Znclass3,Feclass0,Cuclass2,Mnclass0,Bclass1,OMclass2,0.0
Nclass0,Pclass1,Kclass2,pHclass2,ECclass1,OCclass3,Sclass3,Znclass3,Feclass0,Cuclass3,Mnclass0,Bclass2,OMclass3,1.0
Nclass0,Pclass1,Kclass0,pHclass2,ECclass3,OCclass3,Sclass3,Znclass3,Feclass0,Cuclass2,Mnclass0,Bclass1,OMclass3,0.0
Nclass0,Pclass0,Kclass1,pHclass3,ECclass2,OCclass2,Sclass3,Znclass3,Feclass0,Cuclass3,Mnclass0,Bclass2,OMclass2,2.0
Nclass0,Pclass2,Kclass2,pHclass1,ECclass1,OCclass3,Sclass3,Znclass3,Feclass0,Cuclass3,Mnclass0,Bclass1,OMclass3,0.0
Nclass0,Pclass1,Kclass3,pHclass1,ECclass3,OCclass2,Sclass3,Znclass3,Feclass0,Cuclass2,Mnclass0,Bclass2,OMclass2,1.0
Nclass0,Pclass3,Kclass3,pHclass1,ECclass0,OCclass2,Sclass3,Znclass2,Feclass0,Cuclass3,Mnclass0,Bclass1,OMclass2,0.0
Nclass1,Pclass1,Kclass3,pHclass1,ECclass3,OCclass2,Sclass3,Znclass2,Feclass0,Cuclass2,Mnclass0,Bclass1,OMclass2,0.0
